hs_8digit;hs_92_origin;description;excluded;source;mapping_method
52101940;5210.19;Woven fab of cotton,<85% mixd with m-m fib,</=200 g/m2, unbl, nes;0;WTO ATC Annex;both
52101960;5210.19;Woven fab of cotton,<85% mixd with m-m fib,</=200 g/m2, unbl, nes;0;WTO ATC Annex;both
52101980;5210.19;Woven fab of cotton,<85% mixd with m-m fib,</=200 g/m2, unbl, nes;0;WTO ATC Annex;both
52102140;5210.21;Plain weave cotton fab,<85% mixd w m-m fib, not more than 200 g/m2, bl;0;WTO ATC Annex;both
52102160;5210.21;Plain weave cotton fab,<85% mixd w m-m fib, not more than 200 g/m2, bl;0;WTO ATC Annex;both
52102180;5210.21;Plain weave cotton fab,<85% mixd w m-m fib, not more than 200 g/m2, bl;0;WTO ATC Annex;both
52102910;5210.29;Woven fabrics of cotton,<85% mixd with m-m fib,</=200 g/m2, bl, nes;0;WTO ATC Annex;both
52102920;5210.29;Woven fabrics of cotton,<85% mixd with m-m fib,</=200 g/m2, bl, nes;0;WTO ATC Annex;both
52102940;5210.29;Woven fabrics of cotton,<85% mixd with m-m fib,</=200 g/m2, bl, nes;0;WTO ATC Annex;both
52102960;5210.29;Woven fabrics of cotton,<85% mixd with m-m fib,</=200 g/m2, bl, nes;0;WTO ATC Annex;both
52102980;5210.29;Woven fabrics of cotton,<85% mixd with m-m fib,</=200 g/m2, bl, nes;0;WTO ATC Annex;both
52103140;5210.31;Plain weave cotton fab,<85% mixd w m-m fib, not more than 200 g/m2, dyd;0;WTO ATC Annex;both
52103160;5210.31;Plain weave cotton fab,<85% mixd w m-m fib, not more than 200 g/m2, dyd;0;WTO ATC Annex;both
52103180;5210.31;Plain weave cotton fab,<85% mixd w m-m fib, not more than 200 g/m2, dyd;0;WTO ATC Annex;both
52103200;5210.32;Twill weave cotton fab,<85% mixd w m-m fib, not more than 200 g/m2, dyd;0;WTO ATC Annex;both
52103920;5210.39;Woven fabrics of cotton,<85% mixd with m-m fib,</=200 g/m2, dyed, nes;0;WTO ATC Annex;both
52103940;5210.39;Woven fabrics of cotton,<85% mixd with m-m fib,</=200 g/m2, dyed, nes;0;WTO ATC Annex;both
