hs_8digit;rate_type;import_origin;exception_type;effective_date;end_date;source
27079959;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27079959;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27079990;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27079990;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27081000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27081000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27082000;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27082000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27090010;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27090010;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27090020;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27090020;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101215;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101215;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101218;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101218;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101225;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101225;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101245;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101245;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101290;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101290;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101906;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101906;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101911;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101911;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101916;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101916;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101924;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101924;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101925;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101925;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101926;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101926;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
